country,continent,year,lifeExp,pop,gdp
Afghanistan,Asia,2002,42.129,25268405,18363410423.978592
Albania,Europe,2002,75.651,3508512,16153932129.805344
Algeria,Africa,2002,70.994,31287142,165447670333.36826
Angola,Africa,2002,41.003,10866106,30134833900.64707
Argentina,Americas,2002,74.34,38331121,337223430799.52264
Australia,Oceania,2002,80.37,19546792,599847158654.3262
Austria,Europe,2002,78.98,8148312,264148781751.7193
Bahrain,Asia,2002,74.795,656397,15362026094.15019
Bangladesh,Asia,2002,62.013,135656790,154159077920.51968
Belgium,Europe,2002,78.32,10311970,314369518653.4875
Benin,Africa,2002,54.406,7026113,9645995478.412203
Bolivia,Americas,2002,63.883,8445134,28825460794.25046
Bosnia and Herzegovina,Europe,2002,74.09,4165416,25071535764.134426
Botswana,Africa,2002,46.634,1630347,17939694531.36276
Brazil,Americas,2002,71.006,179914212,1462920751252.6248
Bulgaria,Europe,2002,72.14,7661799,58971163876.62727
Burkina Faso,Africa,2002,50.65,12251209,12712408470.32219
Burundi,Africa,2002,47.36,7021078,3134233881.438583
Cambodia,Asia,2002,56.752,12926707,11585251105.560617
Cameroon,Africa,2002,49.856,15929988,30808779174.432613
Canada,Americas,2002,79.77,31902268,1063269575825.7787
Central African Republic,Africa,2002,43.308,4048013,2990229179.3042884
Chad,Africa,2002,50.525,8835739,10215721151.49454
Chile,Americas,2002,77.86,15497046,167039309147.5071
China,Asia,2002,72.028,1280400000,3993927259238.4004
Colombia,Americas,2002,71.682,41008227,236013006965.70737
Comoros,Africa,2002,62.974,614382,660959256.627156
"Congo, Dem. Rep.",Africa,2002,44.966,55379852,13355730548.020277
"Congo, Rep.",Africa,2002,52.97,3328795,11597728065.426151
Costa Rica,Americas,2002,78.123,3834934,29618910245.310127
Cote d'Ivoire,Africa,2002,46.832,16252726,26797508004.7935
Croatia,Europe,2002,74.876,4481020,52107043452.729004
Cuba,Americas,2002,77.158,11226999,71186433969.39432
Czech Republic,Europe,2002,75.51,10256295,180471922898.3349
Denmark,Europe,2002,77.18,5374693,172885062706.98157
Djibouti,Africa,2002,53.373,447416,853786444.069672
Dominican Republic,Americas,2002,70.847,8650322,39478410078.32559
Ecuador,Americas,2002,74.173,12921234,74594859031.96782
Egypt,Africa,2002,69.806,73312559,348572216623.03546
El Salvador,Americas,2002,70.734,6353681,34002160153.359547
Equatorial Guinea,Africa,2002,49.348,495627,3818060562.4293
Eritrea,Africa,2002,55.24,4414865,3378916934.3722973
Ethiopia,Africa,2002,50.725,67946797,36015439731.14233
Finland,Europe,2002,78.37,5193039,146467538809.04224
France,Europe,2002,79.59,59925035,1733393500385.632
Gabon,Africa,2002,56.761,1299304,16269512983.111681
Gambia,Africa,2002,58.041,1457766,962979227.3322701
Germany,Europe,2002,78.67,82350671,2473468447076.1284
Ghana,Africa,2002,58.453,20550751,22852118178.31808
Greece,Europe,2002,78.256,10603863,238738073446.2924
Guatemala,Americas,2002,68.978,11178650,54309766224.98175
Guinea,Africa,2002,53.676,8807818,8328528109.017366
Guinea-Bissau,Africa,2002,45.504,1332459,767102932.3085784
Haiti,Americas,2002,58.137,7607651,9664493045.294731
Honduras,Americas,2002,68.565,6677328,20697904973.82048
"Hong Kong, China",Asia,2002,81.495,6762476,204287740003.13614
Hungary,Europe,2002,72.59,10083313,149676048403.31027
Iceland,Europe,2002,80.5,288030,8975937060.5388
India,Asia,2002,62.879,1034172547,1806461015264.9792
Indonesia,Asia,2002,68.588,211060000,606568050342.2001
Iran,Asia,2002,69.451,66907826,618279294330.7163
Iraq,Asia,2002,57.046,24001816,105385189030.63858
Ireland,Europe,2002,77.783,3879155,132190156526.46545
Israel,Asia,2002,79.696,6029529,132080421158.88907
Italy,Europe,2002,80.24,57926999,1620107994725.492
Jamaica,Americas,2002,72.047,2664659,18638689786.3374
Japan,Asia,2002,82,127065841,3634666526235.2876
Jordan,Asia,2002,71.263,5307470,20406782659.63918
Kenya,Africa,2002,50.992,31386842,40411021465.956345
"Korea, Dem. Rep.",Asia,2002,66.662,22215365,36583333391.19012
"Korea, Rep.",Asia,2002,77.045,47969150,922638064104.647
Kuwait,Asia,2002,76.904,2111561,74137129817.53526
Lebanon,Asia,2002,71.028,3677780,34254617950.197395
Lesotho,Africa,2002,44.593,2046772,2610012082.9419
Liberia,Africa,2002,43.753,2814651,1495937378.2921028
Libya,Africa,2002,72.737,5368585,51187726429.174194
Madagascar,Africa,2002,57.286,16473477,14737783396.96881
Malawi,Africa,2002,45.009,11824495,7868292338.770106
Malaysia,Asia,2002,73.044,22662365,231314259623.22812
Mali,Africa,2002,51.818,10580176,10066082622.160316
Mauritania,Africa,2002,62.247,2828858,4466822066.371894
Mauritius,Africa,2002,71.954,1200206,10828037566.874163
Mexico,Americas,2002,74.902,102479927,1100884521316.2412
Mongolia,Asia,2002,65.033,2674234,5724837882.703582
Montenegro,Europe,2002,73.981,720230,4722688037.72486
Morocco,Africa,2002,69.615,31167783,101560083268.57027
Mozambique,Africa,2002,44.026,18473780,11705318549.540148
Myanmar,Asia,2002,59.908,45598081,27860427491
Namibia,Africa,2002,51.479,1972153,8031247474.658903
Nepal,Asia,2002,61.34,25873917,27354068342.690186
Netherlands,Europe,2002,78.53,16122830,543738536478.1174
New Zealand,Oceania,2002,79.11,3908037,90626601698.44995
Nicaragua,Americas,2002,70.836,5146848,12736126639.972513
Niger,Africa,2002,54.496,11140655,6696363647.1662855
Nigeria,Africa,2002,46.608,119901274,193674896635.36725
Norway,Europe,2002,79.05,4535591,202668235988.12277
Oman,Asia,2002,74.193,2713462,53658268402.94394
Pakistan,Asia,2002,63.61,153403524,321029463168.0421
Panama,Americas,2002,74.712,2990875,22000972010.60225
Paraguay,Americas,2002,70.755,5884491,22264997029.865314
Peru,Americas,2002,69.906,26769436,158181134666.88882
Philippines,Asia,2002,70.303,82995088,220013427319.714
Poland,Europe,2002,74.67,38625976,463598198650.34204
Portugal,Europe,2002,77.29,10433867,208373796584.83328
Puerto Rico,Americas,2002,77.778,3859606,72775210745.96507
Reunion,Africa,2002,75.744,743981,4699106901.6612005
Romania,Europe,2002,71.322,22404337,176666264621.0713
Rwanda,Africa,2002,43.413,7852401,6169268408.369285
Sao Tome and Principe,Africa,2002,64.337,170372,230529056.66908
Saudi Arabia,Asia,2002,71.626,24501530,465885351158.00543
Senegal,Africa,2002,61.6,10870037,16518491524.444695
Serbia,Europe,2002,73.213,10111559,73168001828.92632
Sierra Leone,Africa,2002,41.012,5359092,3748629725.0205965
Singapore,Asia,2002,78.77,4197776,151216927293.5904
Slovak Republic,Europe,2002,73.8,5410052,73786500198.17525
Slovenia,Europe,2002,76.66,2011497,41557566962.58192
Somalia,Africa,2002,45.936,7753310,6839053809.780157
South Africa,Africa,2002,53.365,44433622,342625279554.9402
Spain,Europe,2002,79.78,40152517,997206698031.1682
Sri Lanka,Asia,2002,70.815,19576783,59031417076.43424
Sudan,Africa,2002,56.369,37090298,73935737498.95758
Swaziland,Africa,2002,43.869,1130269,4665882609.047667
Sweden,Europe,2002,80.04,8954175,262730098132.63275
Switzerland,Europe,2002,80.62,7361757,253840431788.29648
Syria,Asia,2002,73.053,17155814,70183154066.52443
Taiwan,Asia,2002,76.99,22454239,521733747819.8263
Tanzania,Africa,2002,49.651,34593779,31102374563.392746
Thailand,Asia,2002,68.564,62806748,371388079010.6457
Togo,Africa,2002,57.561,4977378,4411054800.618417
Trinidad and Tobago,Americas,2002,68.976,1101832,12627656072.62136
Tunisia,Africa,2002,73.042,9770575,55915981214.35163
Turkey,Europe,2002,70.845,67308928,438052273010.6903
Uganda,Africa,2002,47.813,24739869,22951696053.080765
United Kingdom,Europe,2002,78.471,59912431,1766158504919.931
United States,Americas,2002,77.31,287675526,11247278678120.613
Uruguay,Americas,2002,75.307,3363085,25986564534.62234
Venezuela,Americas,2002,72.766,24287670,208996562053.54376
Vietnam,Asia,2002,73.017,80908147,142758920197.8475
West Bank and Gaza,Asia,2002,72.37,3389578,15305597343.493351
"Yemen, Rep.",Asia,2002,60.308,18701257,41793958634.67954
Zambia,Africa,2002,39.193,10595811,11354618752.013718
Zimbabwe,Africa,2002,39.989,11926563,8015110972.06478
